,STATE_CODE,STATE_NAME,CITY,LATITUDE,LONGITUDE,YEAR
0,AK,ALASKA,ADAK,55.999722,-161.207778,2001
1,AK,ALASKA,AKIACHAK,60.891854,-161.39233,1974
2,AK,ALASKA,AKIAK,60.890632,-161.199325,1970
3,AK,ALASKA,AKUTAN,54.143012,-165.785368,1979
4,AK,ALASKA,ALAKANUK,62.746967,-164.60228,1969
5,AK,ALASKA,ALEKNAGIK,59.269688,-158.619882,1973
6,AK,ALASKA,ALLAKAKET,66.543197,-152.712155,1975
7,AK,ALASKA,AMBLER,67.46951,-156.455652,1971
8,AK,ALASKA,ANAKTUVUK PASS,68.11878,-151.679005,1957
9,AK,ALASKA,ANCHOR POINT,59.788818,-151.732933,N/A
10,AK,ALASKA,ANCHORAGE,61.211571,-149.876077,1920
11,AK,ALASKA,ANDERSON,64.300693,-149.1718,1962
12,AK,ALASKA,ANGOON,57.569832,-134.371052,1963
13,AK,ALASKA,ANIAK,61.691648,-157.758502,1972
14,AK,ALASKA,ANVIK,62.830913,-160.130441,1969
15,AK,ALASKA,ARCTIC VILLAGE,68.077395,-145.423115,N/A
16,AK,ALASKA,ATKA,52.199167,-174.213333,1988
17,AK,ALASKA,ATQASUK,71.290556,-156.788611,1982
18,AK,ALASKA,AUKE BAY,58.3833,-134.6597,N/A
19,AK,ALASKA,BARROW,71.234637,-156.817409,1958
20,AK,ALASKA,BEAVER,66.33883,-147.279803,N/A
21,AK,ALASKA,BETHEL,60.832389,-161.824053,1957
22,AK,ALASKA,BETTLES FIELD,67.100495,-151.062414,1985
23,AK,ALASKA,BIG LAKE,61.5842,-149.4401,N/A
24,AK,ALASKA,BREVIG MISSION,65.334187,-166.478578,1969
25,AK,ALASKA,BUCKLAND,65.981052,-161.131676,1966
26,AK,ALASKA,CANTWELL,63.395458,-148.89735,N/A
27,AK,ALASKA,CENTRAL,65.468058,-144.74886,N/A
28,AK,ALASKA,CHALKYITSIK,66.719,-143.638121,N/A
29,AK,ALASKA,CHEFORNAK,60.153746,-164.210294,1974
30,AK,ALASKA,CHEVAK,61.583982,-164.776457,1967
31,AK,ALASKA,CHICKEN,64.075,-141.933333,N/A
32,AK,ALASKA,CHIGNIK,56.301639,-158.415696,1983
33,AK,ALASKA,CHIGNIK LAGOON,56.251277,-158.673528,N/A
34,AK,ALASKA,CHIGNIK LAKE,56.255556,-158.7625,N/A
35,AK,ALASKA,CHITINA,61.516667,-144.436667,N/A
36,AK,ALASKA,CHUGIAK,61.409802,-149.453736,N/A
37,AK,ALASKA,CIRCLE,65.824542,-144.08262,N/A
38,AK,ALASKA,CLAM GULCH,60.201603,-151.422628,N/A
39,AK,ALASKA,CLARKS POINT,58.84921,-158.451241,1971
40,AK,ALASKA,CLEAR,64.418121,-149.139885,N/A
41,AK,ALASKA,COFFMAN COVE,55.342222,-131.646111,1989
42,AK,ALASKA,COLD BAY,55.610952,-161.942941,1982
43,AK,ALASKA,COOPER LANDING,60.476692,-149.823514,N/A
44,AK,ALASKA,COPPER CENTER,61.91581,-144.97793,N/A
45,AK,ALASKA,CORDOVA,60.102558,-147.943316,1909
46,AK,ALASKA,CRAIG,55.47317,-133.117081,1922
47,AK,ALASKA,CROOKED CREEK,61.818072,-158.002483,N/A
48,AK,ALASKA,DEERING,66.062265,-162.711951,1970
49,AK,ALASKA,DELTA JUNCTION,64.005426,-145.613611,1960
50,AK,ALASKA,DENALI NATIONAL PARK,63.516075,-149.539532,N/A
51,AK,ALASKA,DILLINGHAM,59.059279,-158.973533,1963
52,AK,ALASKA,DOUGLAS,58.275597,-134.395041,1902
53,AK,ALASKA,DUTCH HARBOR,53.362757,-167.510656,N/A
54,AK,ALASKA,EAGLE,64.783333,-141.2,1901
55,AK,ALASKA,EAGLE RIVER,61.311357,-149.508515,N/A
56,AK,ALASKA,EEK,60.215058,-162.032341,1970
57,AK,ALASKA,EGEGIK,58.206174,-157.342202,1985
58,AK,ALASKA,EIELSON AFB,64.67352,-147.08051,N/A
59,AK,ALASKA,EKWOK,59.362792,-157.478211,1974
60,AK,ALASKA,ELFIN COVE,58.195,-136.358333,N/A
61,AK,ALASKA,ELIM,64.621662,-162.260371,1970
62,AK,ALASKA,ELMENDORF AFB,61.251531,-149.812667,1940
63,AK,ALASKA,EMMONAK,62.827404,-164.131298,1964
64,AK,ALASKA,ESTER,64.846667,-148.016667,N/A
65,AK,ALASKA,FAIRBANKS,64.840238,-147.710431,1903
66,AK,ALASKA,FALSE PASS,54.841028,-163.436845,1990
67,AK,ALASKA,FORT GREELY,64.036667,-145.733333,1955
68,AK,ALASKA,FORT RICHARDSON,61.275256,-149.675454,1940
69,AK,ALASKA,FORT WAINWRIGHT,64.828303,-147.655673,1961
70,AK,ALASKA,FORT YUKON,66.520744,-145.306439,1959
71,AK,ALASKA,GAKONA,62.654744,-143.568393,N/A
72,AK,ALASKA,GALENA,64.760784,-156.797701,1971
73,AK,ALASKA,GAMBELL,63.776555,-171.701685,1963
74,AK,ALASKA,GIRDWOOD,60.9425,-149.166389,1961
75,AK,ALASKA,GLENNALLEN,62.103895,-145.661684,N/A
76,AK,ALASKA,GOODNEWS BAY,59.085008,-161.587146,1970
77,AK,ALASKA,GRAYLING,63.372013,-159.404907,1969
78,AK,ALASKA,GUSTAVUS,58.42835,-135.761542,2004
79,AK,ALASKA,HAINES,59.251886,-135.542032,1910
80,AK,ALASKA,HEALY,63.917123,-149.011128,N/A
81,AK,ALASKA,HOLY CROSS,62.192584,-159.825092,1968
82,AK,ALASKA,HOMER,59.665495,-151.462644,1964
83,AK,ALASKA,HOONAH,58.032237,-135.558435,1946
84,AK,ALASKA,HOOPER BAY,61.537157,-165.891045,N/A
85,AK,ALASKA,HOPE,60.92,-149.641667,N/A
86,AK,ALASKA,HOUSTON,61.633611,-149.841111,1966
87,AK,ALASKA,HUGHES,66.038246,-154.26443,1973
88,AK,ALASKA,HUSLIA,65.689918,-156.291976,1969
89,AK,ALASKA,HYDABURG,55.137406,-132.633175,1927
90,AK,ALASKA,HYDER,55.925867,-130.124915,N/A
91,AK,ALASKA,ILIAMNA,59.564836,-155.462556,N/A
92,AK,ALASKA,INDIAN,60.9804,-149.4917,N/A
93,AK,ALASKA,JUNEAU,58.362767,-134.529429,1900
94,AK,ALASKA,KAKE,56.975833,-133.947222,1952
95,AK,ALASKA,KAKTOVIK,70.042889,-143.631329,1971
96,AK,ALASKA,KALSKAG,61.541006,-160.3261,1975
97,AK,ALASKA,KALTAG,64.330452,-158.724251,1969
98,AK,ALASKA,KARLUK,57.57,-154.458333,N/A
99,AK,ALASKA,KASIGLUK,60.895556,-162.520556,N/A
100,AK,ALASKA,KASILOF,60.316365,-151.28958,N/A
101,AK,ALASKA,KENAI,60.614467,-151.254556,1960
102,AK,ALASKA,KETCHIKAN,55.372028,-131.683175,1900
103,AK,ALASKA,KIANA,67.18026,-158.152204,1964
104,AK,ALASKA,KING COVE,55.062848,-162.305561,1949
105,AK,ALASKA,KING SALMON,58.724264,-156.641603,N/A
106,AK,ALASKA,KIPNUK,59.923204,-164.101013,N/A
107,AK,ALASKA,KIVALINA,67.665859,-163.733617,1969
108,AK,ALASKA,KLAWOCK,55.552611,-133.055503,1929
109,AK,ALASKA,KOBUK,66.912253,-157.066864,1973
110,AK,ALASKA,KODIAK,57.781967,-152.500169,1940
111,AK,ALASKA,KONGIGANAK,60.9888,-149.4116,N/A
112,AK,ALASKA,KOTLIK,63.029471,-163.554153,1970
113,AK,ALASKA,KOTZEBUE,66.846459,-162.126493,1958
114,AK,ALASKA,KOYUK,64.931668,-161.149957,1970
115,AK,ALASKA,KOYUKUK,64.883333,-157.7,1973
116,AK,ALASKA,KWETHLUK,60.771814,-161.38849,1975
117,AK,ALASKA,KWIGILLINGOK,59.881022,-162.984938,N/A
118,AK,ALASKA,LAKE MINCHUMINA,63.903884,-152.430081,N/A
119,AK,ALASKA,LARSEN BAY,57.538333,-153.98,1974
120,AK,ALASKA,LEVELOCK,59.371395,-154.976815,N/A
121,AK,ALASKA,LOWER KALSKAG,61.51377,-160.359966,1969
122,AK,ALASKA,MANLEY HOT SPRINGS,65.02058,-150.573267,N/A
123,AK,ALASKA,MANOKOTAK,59.009559,-158.989699,1970
124,AK,ALASKA,MARSHALL,61.837087,-161.7394,1970
125,AK,ALASKA,MC GRATH,62.967153,-155.585153,1975
126,AK,ALASKA,MEKORYUK,60.365679,-166.283583,1969
127,AK,ALASKA,METLAKATLA,55.121491,-131.579001,N/A
128,AK,ALASKA,MEYERS CHUCK,55.741667,-132.253333,N/A
129,AK,ALASKA,MINTO,65.058399,-149.691186,N/A
130,AK,ALASKA,MOOSE PASS,60.85852,-149.255911,N/A
131,AK,ALASKA,MOUNTAIN VILLAGE,62.158913,-163.883822,1967
132,AK,ALASKA,NAKNEK,58.885699,-156.705405,N/A
133,AK,ALASKA,NAPAKIAK,60.663758,-161.738144,1970
134,AK,ALASKA,NENANA,64.557656,-149.086744,1921
135,AK,ALASKA,NEW STUYAHOK,59.593533,-157.297205,1972
136,AK,ALASKA,NIGHTMUTE,60.479444,-164.723889,1974
137,AK,ALASKA,NIKISKI,60.690278,-151.288889,N/A
138,AK,ALASKA,NIKOLAI,63.001603,-154.381247,1970
139,AK,ALASKA,NIKOLSKI,52.988337,-168.788427,N/A
140,AK,ALASKA,NINILCHIK,60.010833,-151.639604,N/A
141,AK,ALASKA,NOATAK,66.97553,-160.509453,N/A
142,AK,ALASKA,NOME,64.505775,-165.310667,1901
143,AK,ALASKA,NONDALTON,60.030837,-154.731675,1971
144,AK,ALASKA,NOORVIK,66.836353,-161.044132,1964
145,AK,ALASKA,NORTH POLE,64.78049,-147.369353,1953
146,AK,ALASKA,NORTHWAY,62.964167,-141.908611,N/A
147,AK,ALASKA,NUIQSUT,70.192737,-150.997119,1975
148,AK,ALASKA,NULATO,64.778024,-157.991353,1963
149,AK,ALASKA,NUNAM IQUA,62.509167,-164.453333,1974
150,AK,ALASKA,NUNAPITCHUK,60.896944,-162.459444,1969
151,AK,ALASKA,OLD HARBOR,57.202778,-153.303889,1966
152,AK,ALASKA,OUZINKIE,57.925,-152.491667,1967
